,regime_prob_0,regime_prob_1,regime_prob_2
2015-11-07,9.973338043487676e-106,1.0,1.8633335955452808e-157
2015-11-08,6.821581919749373e-106,1.0,5.375750687307024e-156
2015-11-09,5.083368705064947e-106,1.0,1.1396517019461053e-154
2015-11-10,5.048341349383061e-108,1.0,3.901112684518585e-152
2015-11-11,1.9083704689847966e-113,1.0,4.949012624073869e-156
2015-11-13,7.645022794268646e-122,1.0,5.54940105140311e-155
2015-11-14,1.2765308202111395e-130,1.0,2.55275656528816e-159
2015-11-15,1.859715432266838e-139,1.0,1.0863851300263314e-153
2015-11-16,1.9452598282866242e-139,1.0,5.698929803158212e-153
2015-11-17,2.077639394080548e-128,1.0,1.328342518051968e-150
2015-11-18,1.7965660447892179e-130,1.0,6.333490230826649e-154
2015-11-19,1.0067162581024064e-125,1.0,1.9027857853559167e-149
2015-11-20,2.440061537652691e-142,1.0,3.762664781757452e-162
2015-11-21,6.539026818120222e-144,1.0,2.5924927696169935e-165
2015-11-22,5.297965268627914e-144,1.0,7.349930722511141e-165
2015-11-23,4.848245238213633e-144,1.0,1.9616993506635976e-164
2015-11-24,4.103172482702366e-143,1.0,3.736378490876221e-163
2015-11-25,4.6796886189838037e-141,1.0,3.152525990408799e-160
2015-11-26,1.0114538219179374e-142,1.0,5.0424885595440294e-163
2015-11-28,4.0870992698749797e-141,1.0,1.4943288311058018e-162
2015-11-29,4.059459265047549e-141,1.0,2.38384327013004e-162
2015-11-30,4.3847954093542234e-141,1.0,4.822818024745869e-162
2015-12-01,6.526556294685522e-137,1.0,2.188128492003324e-162
2015-12-02,0.0,1.0,1.3532749139125143e-271
2015-12-03,0.0,1.0,4.7350837037298606e-278
2015-12-04,0.0,1.0,7.41100463063171e-256
2015-12-05,0.0,1.0,4.199567254080884e-270
2015-12-06,0.0,1.0,2.011782803785434e-255
2015-12-07,0.0,1.0,4.120573817554046e-255
2015-12-08,0.0,1.0,1.7991405324815685e-262
2015-12-09,0.0,1.0,7.320209261009836e-275
2015-12-10,0.0,1.0,1.1144769089533157e-261
2015-12-11,0.0,1.0,1.639516031333861e-265
2015-12-12,0.0,1.0,1.5e-323
2015-12-13,0.0,1.0,3.85e-322
2015-12-14,0.0,1.0,4.6e-322
2015-12-15,0.0,1.0,6.91794453861434e-305
2015-12-16,0.0,1.0,7.303975925270246e-274
2015-12-17,0.0,1.0,2.8154459394682314e-256
2015-12-18,0.0,1.0,1.1327424866273983e-283
2015-12-19,0.0,1.0,9.019684707131373e-289
2015-12-20,0.0,1.0,1.181982813541319e-288
2015-12-21,0.0,1.0,9.003485406446267e-290
2015-12-22,0.0,1.0,7.627405843007234e-285
2015-12-23,0.0,1.0,3.221583265519799e-262
2015-12-24,0.0,1.0,9.568025014171263e-261
2015-12-25,0.0,1.0,4.5705217108952776e-254
2015-12-29,0.0,1.0,7.502183415809521e-257
2015-12-30,0.0,1.0,4.453225898991904e-243
2015-12-31,0.0,1.0,4.187542031162377e-249
2016-01-01,0.0,1.0,2.28712869586803e-257
2016-01-05,0.0,1.0,0.0
2016-01-06,0.0,1.0,0.0
2016-01-07,0.0,1.0,0.0
2016-01-08,0.0,1.0,0.0
2016-01-09,0.0,1.0,0.0
2016-01-10,0.0,1.0,0.0
2016-01-11,0.0,1.0,0.0
2016-01-12,0.0,1.0,0.0
2016-01-13,0.0,1.0,0.0
2016-01-14,0.0,1.0,0.0
2016-01-15,0.0,1.0,0.0
2016-01-16,0.0,1.0,0.0
2016-01-17,0.0,1.0,0.0
2016-01-18,0.0,1.0,0.0
